Step Time(ns) rpsystem.zeeman1.field.x rpsystem.zeeman1.field.y rpsystem.zeeman1.field.z rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 450 0 0 0 0.985512 0.00482948 0.00482948 0.00482948 1 
1 455 0 0 0 0.927779 0.0240736 0.0240736 0.0240736 1 
1 460 0 0 0 0.832883 0.0557057 0.0557057 0.0557057 1 
1 465 0 0 0 0.71247 0.0958433 0.0958433 0.0958433 1 
1 470 0 0 0 0.581321 0.13956 0.13956 0.13956 1 
1 475 0 0 0 0.455533 0.181489 0.181489 0.181489 1 
1 480 0 0 0 0.350546 0.216485 0.216485 0.216485 1 
1 485 0 0 0 0.279247 0.240251 0.240251 0.240251 1 
1 490 0 0 0 0.250386 0.249871 0.249871 0.249871 1 
1 495 0 0 0 0.267507 0.244164 0.244164 0.244164 1 
1 500 0 0 0 0.328508 0.223831 0.223831 0.223831 1 
1 505 0 0 0 0.425901 0.191366 0.191366 0.191366 1 
1 510 0 0 0 0.547732 0.150756 0.150756 0.150756 1 
1 515 0 0 0 0.679048 0.106984 0.106984 0.106984 1 
1 520 0 0 0 0.803729 0.0654237 0.0654237 0.0654237 1 
1 525 0 0 0 0.906472 0.0311758 0.0311758 0.0311758 1 
1 530 0 0 0 0.974667 0.00844428 0.00844428 0.00844428 1 
1 535 0 0 0 0.999943 1.91571e-05 1.91571e-05 1.91571e-05 1 
1 540 0 0 0 0.979196 0.00693461 0.00693461 0.00693461 1 
1 545 0 0 0 0.914975 0.0283418 0.0283418 0.0283418 1 
1 550 0 0 0 0.81516 0.0616132 0.0616132 0.0616132 1 
1 555 0 0 0 0.692005 0.102665 0.102665 0.102665 1 
1 560 0 0 0 0.560626 0.146458 0.146458 0.146458 1 
1 565 0 0 0 0.437148 0.187617 0.187617 0.187617 1 
1 570 0 0 0 0.336728 0.221091 0.221091 0.221091 1 
1 575 0 0 0 0.271691 0.24277 0.24277 0.24277 1 
1 580 0 0 0 0.25002 0.249993 0.249993 0.249993 1 
1 585 0 0 0 0.274376 0.241875 0.241875 0.241875 1 
1 590 0 0 0 0.341769 0.21941 0.21941 0.21941 1 
1 595 0 0 0 0.443926 0.185358 0.185358 0.185358 1 
1 600 0 0 0 0.568309 0.143897 0.143897 0.143897 1 
1 605 0 0 0 0.69965 0.100117 0.100117 0.100117 1 
1 610 0 0 0 0.821829 0.0593903 0.0593903 0.0593903 1 
1 615 0 0 0 0.919848 0.0267173 0.0267173 0.0267173 1 
1 620 0 0 0 0.981677 0.00610778 0.00610778 0.00610778 1 
1 625 0 0 0 0.999725 9.1518e-05 9.1518e-05 9.1518e-05 1 
1 630 0 0 0 0.971779 0.00940695 0.00940695 0.00940695 1 
1 635 0 0 0 0.901268 0.0329107 0.0329107 0.0329107 1 
1 640 0 0 0 0.796847 0.0677177 0.0677177 0.0677177 1 
1 645 0 0 0 0.671333 0.109556 0.109556 0.109556 1 
1 650 0 0 0 0.540131 0.15329 0.15329 0.15329 1 
1 655 0 0 0 0.419347 0.193551 0.193551 0.193551 1 
1 660 0 0 0 0.323805 0.225398 0.225398 0.225398 1 
1 665 0 0 0 0.265233 0.244922 0.244922 0.244922 1 
1 670 0 0 0 0.25082 0.249727 0.249727 0.249727 1 
1 675 0 0 0 0.282335 0.239222 0.239222 0.239222 1 
1 680 0 0 0 0.35591 0.214697 0.214697 0.214697 1 
1 685 0 0 0 0.462514 0.179162 0.179162 0.179162 1 
1 690 0 0 0 0.589062 0.136979 0.136979 0.136979 1 
1 695 0 0 0 0.720021 0.0933263 0.0933263 0.0933263 1 
1 700 0 0 0 0.839317 0.053561 0.053561 0.053561 1 
1 705 0 0 0 0.932307 0.0225644 0.0225644 0.0225644 1 
1 710 0 0 0 0.987577 0.00414105 0.00414105 0.00414105 1 
1 715 0 0 0 0.998343 0.000552365 0.000552365 0.000552365 1 
1 720 0 0 0 0.963284 0.0122388 0.0122388 0.0122388 1 
1 725 0 0 0 0.886702 0.0377659 0.0377659 0.0377659 1 
1 730 0 0 0 0.777999 0.0740005 0.0740005 0.0740005 1 
1 735 0 0 0 0.650515 0.116495 0.116495 0.116495 1 
1 740 0 0 0 0.5199 0.160033 0.160033 0.160033 1 
1 745 0 0 0 0.402186 0.199271 0.199271 0.199271 1 
1 750 0 0 0 0.31182 0.229393 0.229393 0.229393 1 
1 755 0 0 0 0.259895 0.246702 0.246702 0.246702 1 
1 760 0 0 0 0.252784 0.249072 0.249072 0.249072 1 
1 765 0 0 0 0.291361 0.236213 0.236213 0.236213 1 
1 770 0 0 0 0.370889 0.209704 0.209704 0.209704 1 
1 775 0 0 0 0.481608 0.172797 0.172797 0.172797 1 
1 780 0 0 0 0.609927 0.130024 0.130024 0.130024 1 
1 785 0 0 0 0.740096 0.0866346 0.0866346 0.0866346 1 
1 790 0 0 0 0.856138 0.0479539 0.0479539 0.0479539 1 
1 795 0 0 0 0.94381 0.0187301 0.0187301 0.0187301 1 
1 800 0 0 0 0.992349 0.00255022 0.00255022 0.00255022 1 
1 805 0 0 0 0.995799 0.00140027 0.00140027 0.00140027 1 
1 810 0 0 0 0.953736 0.0154214 0.0154214 0.0154214 1 
1 815 0 0 0 0.871322 0.0428925 0.0428925 0.0428925 1 
1 820 0 0 0 0.758675 0.0804418 0.0804418 0.0804418 1 
1 825 0 0 0 0.629619 0.12346 0.12346 0.12346 1 
1 830 0 0 0 0.499996 0.166668 0.166668 0.166668 1 
1 835 0 0 0 0.385717 0.204761 0.204761 0.204761 1 
1 840 0 0 0 0.300809 0.233064 0.233064 0.233064 1 
1 845 0 0 0 0.255692 0.248103 0.248103 0.248103 1 
1 850 0 0 0 0.255906 0.248031 0.248031 0.248031 1 
1 855 0 0 0 0.301423 0.232859 0.232859 0.232859 1 
1 860 0 0 0 0.386658 0.204447 0.204447 0.204447 1 
1 865 0 0 0 0.501147 0.166284 0.166284 0.166284 1 
1 870 0 0 0 0.630839 0.123054 0.123054 0.123054 1 
1 875 0 0 0 0.759814 0.0800622 0.0800622 0.0800622 1 
1 880 0 0 0 0.872241 0.0425864 0.0425864 0.0425864 1 
1 885 0 0 0 0.954321 0.0152263 0.0152263 0.0152263 1 
1 890 0 0 0 0.995979 0.00134023 0.00134023 0.00134023 1 
1 895 0 0 0 0.992102 0.00263258 0.00263258 0.00263258 1 
1 900 0 0 0 0.943166 0.0189447 0.0189447 0.0189447 1 
1 905 0 0 0 0.855177 0.0482745 0.0482745 0.0482745 1 
1 910 0 0 0 0.738935 0.0870217 0.0870217 0.0870217 1 
1 915 0 0 0 0.608708 0.130431 0.130431 0.130431 1 
1 920 0 0 0 0.480481 0.173173 0.173173 0.173173 1 
1 925 0 0 0 0.369993 0.210002 0.210002 0.210002 1 
1 930 0 0 0 0.290805 0.236398 0.236398 0.236398 1 
1 935 0 0 0 0.252638 0.249121 0.249121 0.249121 1 
1 940 0 0 0 0.260175 0.246608 0.246608 0.246608 1 
1 945 0 0 0 0.312492 0.229169 0.229169 0.229169 1 
1 950 0 0 0 0.403168 0.198944 0.198944 0.198944 1 
1 955 0 0 0 0.521072 0.159643 0.159643 0.159643 1 
1 960 0 0 0 0.651732 0.116089 0.116089 0.116089 1 
1 965 0 0 0 0.779111 0.0736295 0.0736295 0.0736295 1 
1 970 0 0 0 0.887574 0.0374752 0.0374752 0.0374752 1 
1 975 0 0 0 0.963808 0.0120639 0.0120639 0.0120639 1 
1 980 0 0 0 0.998455 0.000514842 0.000514842 0.000514842 1 
1 985 0 0 0 0.987264 0.00424548 0.00424548 0.00424548 1 
1 990 0 0 0 0.931606 0.0227979 0.0227979 0.0227979 1 
1 995 0 0 0 0.838315 0.053895 0.053895 0.053895 1 
1 1000 0 0 0 0.718841 0.0937198 0.0937198 0.0937198 1 
1 1005 0 0 0 0.587848 0.137384 0.137384 0.137384 1 
1 1010 0 0 0 0.461416 0.179528 0.179528 0.179528 1 
1 1015 0 0 0 0.355062 0.214979 0.214979 0.214979 1 
1 1020 0 0 0 0.281842 0.239386 0.239386 0.239386 1 
1 1025 0 0 0 0.250742 0.249753 0.249753 0.249753 1 
1 1030 0 0 0 0.265579 0.244807 0.244807 0.244807 1 
1 1035 0 0 0 0.324534 0.225155 0.225155 0.225155 1 
1 1040 0 0 0 0.420368 0.193211 0.193211 0.193211 1 
1 1045 0 0 0 0.54132 0.152893 0.152893 0.152893 1 
1 1050 0 0 0 0.672543 0.109152 0.109152 0.109152 1 
1 1055 0 0 0 0.79793 0.0673566 0.0673566 0.0673566 1 
1 1060 0 0 0 0.902091 0.0326362 0.0326362 0.0326362 1 
1 1065 0 0 0 0.972242 0.00925281 0.00925281 0.00925281 1 
1 1070 0 0 0 0.99977 7.66227e-05 7.66227e-05 7.66227e-05 1 
1 1075 0 0 0 0.981298 0.00623395 0.00623395 0.00623395 1 
